"country_name","energy_use_percapita","gni_per_capita","birth_rate","death_rate","fertility_rate","life_expectancy","infant_mortality_rate","urban_pop_pct","birthCat","deathCat","gni_hi_ind"
"Solomon Islands",128.9049125,1020,33.436,6.218,4.412,66.28378049,20.7,18.6886,"High","Low",0
"South Africa",2876.946613,5760,22.191,15.191,2.58,51.00365854,46.8,60.172,"High","High",1
"South Asia",474.1833148,886.1748385,24.0184455,8.14775975,2.871667609,64.2912395,53.9,29.5453267,"High","High",0
"Spain",3205.71005,29400,11,8.6,1.4,80.87317073,4.4,76.9342,"Low","High",1
"Sri Lanka",462.2002096,1540,18.948,6.372,2.35,74.31207317,12.4,15.0926,"Low","Low",0
"St. Kitts and Nevis",1645.030225,11360,22.19499078,8.722886224,2.905202126,68.58510473,7.8,32.0228,"High","High",1
"St. Lucia",760.3749599,5740,13.2,6,2.026,73.72321951,14.3,21.1814,"Low","Low",1
"St. Vincent and the Grenadines",641.8485237,5910,17.694,7.523,2.131,71.51546341,19.3,47.781,"Low","Low",1
"Sub-Saharan Africa (all income levels)",693.565726,987.4908178,38.56429348,13.49165044,5.145669115,52.63912223,77.70144468,34.80486514,"High","High",0
"Sub-Saharan Africa (developing only)",691.4347266,980.3931613,38.56525714,13.49019558,5.145462248,52.64132871,77.9,34.80140766,"High","High",0
"Sudan",375.4877657,930,34.099,9.409,4.664,60.17860976,60.2,32.8896,"High","High",0
"Suriname",1399.626766,5040,19.267,7.317,2.432,69.46841463,28.7,68.0258,"Low","Low",1
"Swaziland",414.6644159,3030,30.22,15.131,3.613,46.7695122,77.4,21.676,"High","High",0
"Sweden",5472.135392,48900,11.7,10,1.88,80.9,2.6,84.6138,"Low","High",1
"Switzerland",3411.819602,57020,9.9,8.1,1.46,81.74146341,4.2,73.5294,"Low","High",1
"Syrian Arab Republic",1283.129332,1880,24.045,3.521,3.116,75.25878049,15.2,54.539,"High","Low",0
"Tajikistan",393.9364299,470,28.115,6.463,3.477,66.32378049,60.2,26.4574,"High","Low",0
"Tanzania",446.4492648,410,41.651,11.685,5.589,54.9425122,55.9,25.0268,"High","High",0
"Thailand",1507.550122,3200,12.948,7.091,1.629,73.46590244,12.2,32.8366,"Low","Low",0
"Timor-Leste",58.31572708,1850,39.222,8.75,5.7,60.62365854,57.7,26.832,"High","High",0
"Togo",434.8399407,420,33.47,11.33,4.354,55.62619512,75,36.1242,"High","High",0
"Tonga",567.2149745,2930,28.352,6.212,4.059,71.73804878,14.4,23.2402,"High","Low",0
"Trinidad and Tobago",15211.27624,14890,14.828,8.009,1.629,69.06614634,25.7,12.6508,"Low","High",1
"Tunisia",864.1587857,3560,17.4,5.5,2.04,74.20243902,17.3,65.516,"Low","Low",0
"Turkey",1428.791115,8440,18.672,5.436,2.145,72.81065854,15.9,68.2994,"Low","Low",1
"Turkmenistan",4512.140647,2270,22.155,7.758,2.523,64.59831707,49.3,47.5928,"High","Low",0
"Tuvalu",NA,4700,22.19499078,8.722886224,2.905202126,68.58510473,28.4,48.9072,"High","High",0
"Uganda",NA,380,46.541,13.444,6.425,51.72968293,67.3,14.012,"High","High",0
"Ukraine",2952.98999,2570,10.2,16.4,1.345,68.22219512,10.9,68.148,"Low","High",0
"United Arab Emirates",9561.664226,45210,14.232,1.396,1.906,76.03843902,7,82.974,"Low","Low",1
"United Kingdom",3447.617543,44310,12.7,9.4,1.9,79.44878049,4.9,79.2074,"Low","High",1
"United States",7758.205892,46910,14.3,8,2.122,77.83902439,6.7,81.2958,"Low","High",1
"Upper middle income",1747.763169,4089.078933,14.61962065,7.38968695,1.848412973,71.90111496,20.3,57.00446055,"Low","Low",0
"Uruguay",951.664999,6400,14.67,9.39,2.02,75.85512195,10.8,92.1362,"Low","High",1
"Uzbekistan",1812.58672,760,22.66327004,5.11500451,2.55,67.41129268,44.9,36.4872,"High","Low",0
"Vanuatu",157.3903776,2110,30.534,5.132,4.03,69.94465854,13.9,23.695,"High","Low",0
"Venezuela, RB",2334.583888,7570,21.52,5.09,2.58,73.56243902,14.9,92.4722,"Low","Low",1
"Vietnam",665.0582811,790,17.127,5.213,1.878,74.16534146,20.4,28.5258,"Low","Low",0
"World",1810.15208,8083.082192,19.974006,8.316197465,2.508837604,68.86751608,41.7,50.05327034,"Low","High",1
"Yemen, Rep.",325.3254319,870,38.731,7.081,5.524,63.66534146,61.8,30.0584,"High","Low",0
"Zambia",612.2648602,750,44.577,17.089,6.182,46.19763415,68.6,37.4572,"High","High",0
"Zimbabwe",767.5662965,410,29.389,15.558,3.491,45.79707317,51.9,36.768,"High","High",0
